KEGGgene	Module	Organism
reh:H16_B2564	md:reh_M00001	Cupriavidus
reh:H16_A1502	md:reh_M00001	Cupriavidus
reh:H16_B1502	md:reh_M00001	Cupriavidus
reh:H16_B0278	md:reh_M00001	Cupriavidus
reh:H16_A0568	md:reh_M00001	Cupriavidus
reh:H16_B1384	md:reh_M00001	Cupriavidus
reh:PHG416	md:reh_M00001	Cupriavidus
reh:H16_A1047	md:reh_M00001	Cupriavidus
reh:H16_A3146	md:reh_M00001	Cupriavidus
reh:H16_B1386	md:reh_M00001	Cupriavidus
reh:PHG418	md:reh_M00001	Cupriavidus
reh:H16_A0566	md:reh_M00001	Cupriavidus
reh:H16_B1385	md:reh_M00001	Cupriavidus
reh:PHG417	md:reh_M00001	Cupriavidus
reh:H16_A0332	md:reh_M00001	Cupriavidus
reh:H16_A0493	md:reh_M00001	Cupriavidus
reh:H16_A1188	md:reh_M00001	Cupriavidus
reh:H16_A0567	md:reh_M00001	Cupriavidus
reh:H16_B0961	md:reh_M00001	Cupriavidus
reh:H16_A3602	md:reh_M00001	Cupriavidus
reh:H16_A1047	md:reh_M00002	Cupriavidus
reh:H16_A3146	md:reh_M00002	Cupriavidus
reh:H16_B1386	md:reh_M00002	Cupriavidus
reh:PHG418	md:reh_M00002	Cupriavidus
reh:H16_A0566	md:reh_M00002	Cupriavidus
reh:H16_B1385	md:reh_M00002	Cupriavidus
reh:PHG417	md:reh_M00002	Cupriavidus
reh:H16_A0332	md:reh_M00002	Cupriavidus
reh:H16_A0493	md:reh_M00002	Cupriavidus
reh:H16_A1188	md:reh_M00002	Cupriavidus
reh:H16_A0567	md:reh_M00002	Cupriavidus
reh:H16_B0961	md:reh_M00002	Cupriavidus
reh:H16_A3602	md:reh_M00002	Cupriavidus
reh:H16_A3711	md:reh_M00003	Cupriavidus
reh:H16_A1188	md:reh_M00003	Cupriavidus
reh:H16_A0332	md:reh_M00003	Cupriavidus
reh:H16_A0493	md:reh_M00003	Cupriavidus
reh:H16_A0566	md:reh_M00003	Cupriavidus
reh:H16_B1385	md:reh_M00003	Cupriavidus
reh:PHG417	md:reh_M00003	Cupriavidus
reh:H16_A3146	md:reh_M00003	Cupriavidus
reh:H16_B1386	md:reh_M00003	Cupriavidus
reh:PHG418	md:reh_M00003	Cupriavidus
reh:H16_A1047	md:reh_M00003	Cupriavidus
reh:H16_B0278	md:reh_M00003	Cupriavidus
reh:H16_A0568	md:reh_M00003	Cupriavidus
reh:H16_B1384	md:reh_M00003	Cupriavidus
reh:PHG416	md:reh_M00003	Cupriavidus
reh:H16_A0999	md:reh_M00003	Cupriavidus
reh:PHG422	md:reh_M00003	Cupriavidus
reh:H16_B1390	md:reh_M00003	Cupriavidus
reh:H16_B1501	md:reh_M00004	Cupriavidus
reh:H16_A0316	md:reh_M00004	Cupriavidus
reh:H16_B2566	md:reh_M00004	Cupriavidus
reh:H16_B2565	md:reh_M00004	Cupriavidus
reh:H16_B1391	md:reh_M00004	Cupriavidus
reh:H16_A3317	md:reh_M00004	Cupriavidus
reh:PHG423	md:reh_M00004	Cupriavidus
reh:H16_A2345	md:reh_M00004	Cupriavidus
reh:H16_A3147	md:reh_M00004	Cupriavidus
reh:H16_B1388	md:reh_M00004	Cupriavidus
reh:PHG420	md:reh_M00004	Cupriavidus
reh:H16_A2346	md:reh_M00004	Cupriavidus
reh:H16_A1502	md:reh_M00004	Cupriavidus
reh:H16_B1502	md:reh_M00004	Cupriavidus
reh:H16_A0372	md:reh_M00005	Cupriavidus
reh:H16_B1501	md:reh_M00006	Cupriavidus
reh:H16_A0316	md:reh_M00006	Cupriavidus
reh:H16_B2566	md:reh_M00006	Cupriavidus
reh:H16_B2565	md:reh_M00006	Cupriavidus
reh:H16_A3147	md:reh_M00007	Cupriavidus
reh:H16_B1388	md:reh_M00007	Cupriavidus
reh:PHG420	md:reh_M00007	Cupriavidus
reh:H16_A2346	md:reh_M00007	Cupriavidus
reh:H16_B1391	md:reh_M00007	Cupriavidus
reh:H16_A3317	md:reh_M00007	Cupriavidus
reh:PHG423	md:reh_M00007	Cupriavidus
reh:H16_A2345	md:reh_M00007	Cupriavidus
reh:H16_B1501	md:reh_M00008	Cupriavidus
reh:H16_A0316	md:reh_M00008	Cupriavidus
reh:H16_B2566	md:reh_M00008	Cupriavidus
reh:H16_B2565	md:reh_M00008	Cupriavidus
reh:H16_A1178	md:reh_M00008	Cupriavidus
reh:H16_B2567	md:reh_M00008	Cupriavidus
reh:H16_B1213	md:reh_M00008	Cupriavidus
reh:H16_A1229	md:reh_M00009	Cupriavidus
reh:H16_A2627	md:reh_M00009	Cupriavidus
reh:H16_B0414	md:reh_M00009	Cupriavidus
reh:H16_B2211	md:reh_M00009	Cupriavidus
reh:H16_B0357	md:reh_M00009	Cupriavidus
reh:H16_A2638	md:reh_M00009	Cupriavidus
reh:H16_B0568	md:reh_M00009	Cupriavidus
reh:H16_A3056	md:reh_M00009	Cupriavidus
reh:H16_B1931	md:reh_M00009	Cupriavidus
reh:H16_B1016	md:reh_M00009	Cupriavidus
reh:H16_A2325	md:reh_M00009	Cupriavidus
reh:H16_A2324	md:reh_M00009	Cupriavidus
reh:H16_A1377	md:reh_M00009	Cupriavidus
reh:H16_A2323	md:reh_M00009	Cupriavidus
reh:H16_B1098	md:reh_M00009	Cupriavidus
reh:H16_A0548	md:reh_M00009	Cupriavidus
reh:H16_A0547	md:reh_M00009	Cupriavidus
reh:H16_A1358	md:reh_M00009	Cupriavidus
reh:H16_A2630	md:reh_M00009	Cupriavidus
reh:H16_A2629	md:reh_M00009	Cupriavidus
reh:H16_A2632	md:reh_M00009	Cupriavidus
reh:H16_A2631	md:reh_M00009	Cupriavidus
reh:H16_A2528	md:reh_M00009	Cupriavidus
reh:H16_B0103	md:reh_M00009	Cupriavidus
reh:H16_A2634	md:reh_M00009	Cupriavidus
reh:H16_A1229	md:reh_M00010	Cupriavidus
reh:H16_A2627	md:reh_M00010	Cupriavidus
reh:H16_B0414	md:reh_M00010	Cupriavidus
reh:H16_B2211	md:reh_M00010	Cupriavidus
reh:H16_B0357	md:reh_M00010	Cupriavidus
reh:H16_A2638	md:reh_M00010	Cupriavidus
reh:H16_B0568	md:reh_M00010	Cupriavidus
reh:H16_A3056	md:reh_M00010	Cupriavidus
reh:H16_B1931	md:reh_M00010	Cupriavidus
reh:H16_B1016	md:reh_M00010	Cupriavidus
reh:H16_A2325	md:reh_M00011	Cupriavidus
reh:H16_A2324	md:reh_M00011	Cupriavidus
reh:H16_A1377	md:reh_M00011	Cupriavidus
reh:H16_A2323	md:reh_M00011	Cupriavidus
reh:H16_B1098	md:reh_M00011	Cupriavidus
reh:H16_A0548	md:reh_M00011	Cupriavidus
reh:H16_A0547	md:reh_M00011	Cupriavidus
reh:H16_A1358	md:reh_M00011	Cupriavidus
reh:H16_A2630	md:reh_M00011	Cupriavidus
reh:H16_A2629	md:reh_M00011	Cupriavidus
reh:H16_A2632	md:reh_M00011	Cupriavidus
reh:H16_A2631	md:reh_M00011	Cupriavidus
reh:H16_A2528	md:reh_M00011	Cupriavidus
reh:H16_B0103	md:reh_M00011	Cupriavidus
reh:H16_A2634	md:reh_M00011	Cupriavidus
reh:H16_A1229	md:reh_M00012	Cupriavidus
